2eaded,127.0.0.1,GET,http://localhost/handleit/,1416826706,
56df92,127.0.0.1,GET,http://localhost/handleit/armory,1416826711,
b1f370,127.0.0.1,GET,http://localhost/handleit/guild,1416826718,
7e3e50,127.0.0.1,GET,http://localhost/handleit/guild,1416826812,
df9d28,127.0.0.1,GET,http://localhost/handleit/players,1416826815,
41deca,127.0.0.1,GET,http://localhost/handleit/news,1416826865,
6255cf,127.0.0.1,GET,http://localhost/handleit/player,1416826870,
be8e44,127.0.0.1,GET,http://localhost/handleit/player,1416826885,
f8b10f,127.0.0.1,GET,http://localhost/handleit/players,1416826888,
d35705,127.0.0.1,GET,http://localhost/handleit/players,1416827044,
166d2d,127.0.0.1,GET,http://localhost/handleit/players/99,1416827051,
f3b4ea,127.0.0.1,GET,http://localhost/handleit/players,1416827055,
888c77,127.0.0.1,GET,http://localhost/handleit/,1416828886,
a76f53,127.0.0.1,GET,http://localhost/handleit/news,1416828892,
3dbf20,127.0.0.1,GET,http://localhost/handleit/,1416829341,
df4b92,127.0.0.1,GET,http://localhost/handleit/players,1416829346,
598fff,127.0.0.1,GET,http://localhost/handleit/players/,1416829346,
b6be0c,127.0.0.1,GET,http://localhost/handleit/players/,1416829383,
228fe9,127.0.0.1,GET,http://localhost/handleit/players/,1416831690,
a64be1,127.0.0.1,GET,http://localhost/handleit/players/,1416832326,
